ФИО;Паспортные данные;СНИЛС;Симптомы;Выбор врача;Дата посещения врача;Анализы;Дата получения анализов;Стоимость анализов;Карта оплаты
Кузнецов Егор Павлович;7424 566433;926-179-640 40;отеки лица по утрам, отеки;нефролог;2025-12-17T14:00+03:00;анализ мочи по Зимницкому, урография;2025-12-19T12:00+03:00;2700 руб.;4475 2053 1003 3090
Константинов Борис Вячеславович;5022 870128;839-335-290 34;напряжение мышц живота;хирург;2025-12-15T11:00+03:00;биохимический анализ крови;2025-12-16T11:00+03:00;1500 руб.;5100 0288 9373 4672
Захаров Денис Антонович;5421 114352;839-084-700 34;общая слабость, легкая тошнота;терапевт;2025-11-24T10:30+03:00;общий анализ крови;2025-11-25T17:00+03:00;800 руб.;4153 7477 0143 6340
Константинова Оксана Филипповна;7212 418099;156-545-271 81;болезненные менструации;гинеколог;2025-11-24T14:15+03:00;анализ крови на половые гормоны;2025-11-27T09:00+03:00;1650 руб.;2200 0604 9451 9836
Романова Радмила Вадимовна;3622 804712;998-094-024 76;незначительное повышение температуры, общая слабость;маммолог;2025-11-25T11:45+03:00;общий анализ крови;2025-11-28T10:45+03:00;800 руб.;4276 8366 7525 4599
Андреев Виталий Юрьевич;6123 226041;815-614-978 19;слабость в руках;невролог;2025-12-09T09:00+03:00;кт головного мозга;2025-12-10T17:00+03:00;9000 руб.;2200 1407 6226 8389
Новикова Людмила Андреевна;5225 303579;605-297-516 96;общее недомогание, легкая тошнота;терапевт;2025-12-02T13:30+03:00;биохимический анализ крови;2025-12-03T17:00+03:00;1500 руб.;2200 0513 3387 2627
Крюков Илья Викторович;5224 185752;779-979-955 46;дрожание рук, повышенная жажда;эндокринолог;2025-12-15T13:00+03:00;узи щитовидной железы, анализ крови на сахар;2025-12-17T17:00+03:00;5150 руб.;5486 7319 9867 9809
Скворцов Филипп Олегович;6620 180942;377-889-255 75;незначительное повышение температуры, общая слабость;терапевт;2025-11-24T14:00+03:00;биохимический анализ крови, флюорография;2025-11-27T12:00+03:00;2700 руб.;4622 0451 9254 6294
Максимов Станислав Константинович;7723 323870;357-332-214 68;отеки ног, венозная недостаточность, боль в ногах;флеболог;2025-12-09T15:15+03:00;допплерография сосудов;2025-12-12T11:15+03:00;1750 руб.;2200 1406 5379 4733
Романчук Снежана Владиславовна;6123 169931;392-407-581 96;заложенность носа, заложенность ушей;лор;2025-11-25T13:45+03:00;аудиометрия;2025-11-26T17:00+03:00;1750 руб.;2200 0506 0685 3611
Сизов Вадим Игоревич;5906 491898;901-043-289 50;снижение слуха, насморк;лор;2025-11-24T09:15+03:00;ларингоскопия, анализ крови на стрептококк;2025-11-26T14:15+03:00;3400 руб.;4627 2910 4709 5211
Волков Степан Григорьевич;5023 700675;851-888-880 77;легкая тошнота;стоматолог-терапевт;2025-12-01T13:00+03:00;общий анализ крови, общий анализ мочи;2025-12-03T09:00+03:00;1400 руб.;4154 2820 5852 7722
Константинов Андрей Евгеньевич;0519 569409;403-450-541 29;частые ОРВИ у детей, колики;педиатр;2025-12-18T15:30+03:00;анализ крови на детские инфекции;2025-12-22T11:30+03:00;1650 руб.;4630 2761 6928 4516
Максимова Мария Филипповна;2325 456069;016-582-029 40;головная боль;детский хирург;2025-11-24T12:30+03:00;общий анализ мочи, общий анализ крови;2025-11-27T09:00+03:00;1400 руб.;5486 9957 8091 3433
Дмитриева Василиса Артемовна;7712 195086;868-144-739 52;общая слабость;косметолог;2025-11-24T10:45+03:00;общий анализ мочи;2025-11-25T15:45+03:00;600 руб.;5100 0318 8442 2588
Николаев Григорий Павлович;3423 068942;678-669-125 78;общее недомогание, незначительное повышение температуры;неонатолог;2025-11-24T17:15+03:00;общий анализ мочи;2025-11-27T09:00+03:00;600 руб.;2200 0442 2535 8417
Степанова Юлия Егоровна;5224 755639;959-001-094 08;общая слабость, легкая тошнота, незначительное повышение температуры;пародонтолог;2025-12-08T13:30+03:00;общий анализ крови, общий анализ мочи;2025-12-10T09:00+03:00;1400 руб.;2200 0677 3592 5557
Антонов Петр Станиславович;7714 991308;963-259-532 44;легкая тошнота, незначительное повышение температуры;ортодонт;2025-12-05T09:00+03:00;общий анализ мочи, общий анализ крови;2025-12-08T17:00+03:00;1400 руб.;2200 0774 8016 2454
Попова Людмила Антоновна;5424 865402;912-165-585 94;изменения кожи, длительная субфебрильная температура, новообразования;онколог;2025-11-21T09:00+03:00;гистологическое исследование;2025-11-24T09:00+03:00;1750 руб.;2200 0259 5269 4959
Громова Ирина Олеговна;HB6557278;169-409-749 16;метеоризм, тошнота, боль в желудке;гастроэнтеролог;2025-12-10T15:15+03:00;гастроскопия;2025-12-15T09:00+03:00;1750 руб.;2200 0562 6368 9701
Климов Иван Олегович;7416 909802;497-334-843 39;головная боль, легкая тошнота;терапевт;2025-12-05T14:30+03:00;общий анализ крови, рентген грудной клетки;2025-12-08T09:30+03:00;3300 руб.;2200 0824 0415 7473
Климова Милана Дмитриевна;7825 105066;571-208-267 76;постоянная усталость, новообразования;онколог;2025-12-10T09:00+03:00;пет-кт;2025-12-15T09:00+03:00;9000 руб.;5100 0362 0672 4009
Гусев Евгений Николаевич;N82920556;872-874-315 55;незначительное повышение температуры, головная боль, общая слабость;стоматолог;2025-12-15T14:30+03:00;общий анализ крови;2025-12-18T09:00+03:00;800 руб.;5100 0216 1227 5309
Петухова Злата Олеговна;7816 487283;965-075-273 40;затрудненное дыхание, аллергическая сыпь;аллерголог;2025-11-28T14:15+03:00;аллергопробы;2025-12-01T17:00+03:00;1750 руб.;4630 2761 6928 4516
Попова Людмила Антоновна;5424 865402;912-165-585 94;насморк, боль при глотании, выделения из носа;лор;2025-11-27T12:15+03:00;мазок из носа, аудиометрия;2025-12-01T11:15+03:00;3400 руб.;4279 0183 3918 7856
Романчук Снежана Владиславовна;6123 169931;392-407-581 96;общее недомогание;трихолог;2025-12-08T11:15+03:00;общий анализ мочи, общий анализ крови;2025-12-11T09:00+03:00;1400 руб.;2200 0562 6368 9701
Новикова Людмила Андреевна;5225 303579;605-297-516 96;тошнота, боль в желудке;гастроэнтеролог;2025-12-03T16:00+03:00;анализ крови на печеночные пробы, анализ кала на копрограмму;2025-12-08T14:00+03:00;3400 руб.;2200 0498 5931 7464
Молчанов Артем Андреевич;7899 188725;265-676-618 22;боль в ногах;флеболог;2025-12-08T15:15+03:00;узи вен;2025-12-11T15:15+03:00;3500 руб.;2200 1407 6226 8389
Громова Ирина Олеговна;HB6557278;169-409-749 16;головная боль;стоматолог-терапевт;2025-12-04T14:15+03:00;общий анализ крови, общий анализ мочи;2025-12-05T16:15+03:00;1400 руб.;4475 2033 1190 7909
Молчанова Марина Федоровна;5020 167754;691-669-784 74;эмоциональные проблемы, стресс, посттравматический стресс;психотерапевт;2025-12-08T13:15+03:00;нейропсихологическое обследование, психологическое тестирование;2025-12-10T09:00+03:00;3500 руб.;4622 0444 0892 6879
Соловьева Милана Григорьевна;2319 695929;270-289-517 85;общее недомогание, незначительное повышение температуры;терапевт;2025-12-03T11:30+03:00;общий анализ мочи, рентген грудной клетки;2025-12-05T17:30+03:00;3100 руб.;5486 9957 8091 3433
Попова Людмила Антоновна;5424 865402;912-165-585 94;общее недомогание;физиотерапевт;2025-12-03T15:15+03:00;общий анализ крови, общий анализ мочи;2025-12-05T09:00+03:00;1400 руб.;2200 0749 8084 1240
Волкова Полина Владиславовна;0223 502682;540-331-739 49;общее недомогание;ортодонт;2025-12-01T13:45+03:00;общий анализ мочи, общий анализ крови;2025-12-03T09:00+03:00;1400 руб.;2200 0562 6368 9701
Волкова Полина Владиславовна;0223 502682;540-331-739 49;боль в пояснице, задержка мочи;уролог;2025-12-03T09:15+03:00;узи почек;2025-12-05T09:00+03:00;3500 руб.;4153 7423 5369 3785
Степанова Юлия Егоровна;5224 755639;959-001-094 08;легкая тошнота, общее недомогание, общая слабость;косметолог;2025-12-15T14:15+03:00;общий анализ мочи;2025-12-17T09:00+03:00;600 руб.;4475 2080 1006 2310
Смирнов Макар Дмитриевич;5023 529904;083-863-794 16;общая слабость, легкая тошнота;стоматолог;2025-12-11T16:00+03:00;общий анализ мочи;2025-12-12T16:00+03:00;600 руб.;2200 0604 9451 9836
Марков Никита Филиппович;7721 244763;493-618-324 17;легкая тошнота, головная боль, общая слабость;физиотерапевт;2025-12-19T10:15+03:00;общий анализ крови;2025-12-22T09:00+03:00;800 руб.;2200 1415 6793 3417
Дмитриева Василиса Артемовна;7712 195086;868-144-739 52;болезненные менструации, тяжесть внизу живота;гинеколог;2025-12-08T16:00+03:00;анализ на ЗППП;2025-12-10T09:00+03:00;1750 руб.;2200 0442 2535 8417
Макаров Егор Станиславович;5203 161451;484-677-378 56;боль в глазах, слезотечение, мушки перед глазами;офтальмолог;2025-12-18T16:30+03:00;исследование глазного дна;2025-12-22T11:30+03:00;1750 руб.;4630 2725 0392 6144
Петухова Злата Олеговна;7816 487283;965-075-273 40;общее недомогание, незначительное повышение температуры, головная боль;стоматолог-терапевт;2025-12-15T11:00+03:00;общий анализ крови, общий анализ мочи;2025-12-17T14:00+03:00;1400 руб.;2200 0688 2081 2197
Гусев Евгений Николаевич;N82920556;872-874-315 55;незначительное повышение температуры, общая слабость;кардиохирург;2025-12-10T13:45+03:00;общий анализ крови, общий анализ мочи;2025-12-15T09:00+03:00;1400 руб.;4153 7419 4311 4260
Максимова Мария Филипповна;2325 456069;016-582-029 40;незначительное повышение температуры, общая слабость;стоматолог-терапевт;2025-11-24T09:30+03:00;общий анализ мочи, общий анализ крови;2025-11-25T15:30+03:00;1400 руб.;2200 0484 2710 9478
Максимов Станислав Константинович;7723 323870;357-332-214 68;общая слабость;геронтолог;2025-11-24T14:00+03:00;общий анализ мочи, общий анализ крови;2025-11-26T09:00+03:00;1400 руб.;4377 7298 2622 4447
Крылов Геннадий Александрович;7723 249566;738-299-737 68;незначительное повышение температуры, легкая тошнота;нарколог;2025-12-15T10:30+03:00;общий анализ крови, общий анализ мочи;2025-12-18T09:00+03:00;1400 руб.;2200 0265 9657 5695
Власова Алла Николаевна;7220 001207;876-038-597 55;постоянная усталость, увеличение лимфоузлов;онколог;2025-11-20T15:30+03:00;гистологическое исследование, мрт с контрастом;2025-11-24T09:00+03:00;13250 руб.;2200 0551 9398 2806
Яковлева Мария Евгеньевна;AB7864256;724-342-661 83;легкая тошнота, общее недомогание, незначительное повышение температуры;диетолог;2025-11-21T14:00+03:00;общий анализ крови;2025-11-24T09:00+03:00;800 руб.;4276 4465 6101 4386
Максимов Станислав Константинович;7723 323870;357-332-214 68;легкая тошнота;сосудистый хирург;2025-12-01T15:45+03:00;общий анализ мочи;2025-12-02T16:45+03:00;600 руб.;5486 7312 5457 3878
Филиппов Валентин Степанович;4717 273433;534-624-751 90;незначительное повышение температуры, общая слабость;физиотерапевт;2025-12-01T09:00+03:00;общий анализ мочи;2025-12-04T09:00+03:00;600 руб.;4153 7477 0143 6340
Павловский Владимир Станиславович;5017 689238;609-379-660 34;отеки, боль при мочеиспускании;нефролог;2025-11-24T17:15+03:00;биохимический анализ крови, анализ мочи;2025-11-26T17:00+03:00;2450 руб.;4153 7419 4311 4260
Никифорова Ульяна Леонидовна;4223 618837;251-341-252 24;головная боль, легкая тошнота, общее недомогание;пародонтолог;2025-11-25T16:15+03:00;общий анализ мочи;2025-11-27T10:15+03:00;600 руб.;5486 7319 9867 9809
Баранов Александр Павлович;7222 512439;190-340-438 44;общее недомогание, легкая тошнота;венеролог;2025-12-08T17:00+03:00;общий анализ мочи;2025-12-11T09:00+03:00;600 руб.;5486 7378 3613 4071
Баранов Александр Павлович;7222 512439;190-340-438 44;эмоциональные проблемы;психотерапевт;2025-12-17T15:15+03:00;психологическое тестирование;2025-12-19T09:00+03:00;1750 руб.;4475 2054 4948 1269
Степанова Милана Васильевна;7723 663122;667-116-845 21;общее недомогание, общая слабость;косметолог;2025-12-17T10:45+03:00;общий анализ крови, общий анализ мочи;2025-12-18T17:00+03:00;1400 руб.;2200 1445 8929 7506
Максимова Мария Филипповна;2325 456069;016-582-029 40;общая слабость;физиотерапевт;2025-12-19T11:45+03:00;общий анализ крови, общий анализ мочи;2025-12-22T17:00+03:00;1400 руб.;5100 0224 1541 5209
Дмитриева Антонина Филипповна;0624 704939;490-278-742 16;посттравматический стресс, стресс;психотерапевт;2025-12-12T10:00+03:00;нейропсихологическое обследование;2025-12-15T14:00+03:00;1750 руб.;5486 9957 8091 3433
Захаров Денис Антонович;5421 114352;839-084-700 34;общая слабость, легкая тошнота;физиотерапевт;2025-12-12T11:45+03:00;общий анализ крови;2025-12-15T11:45+03:00;800 руб.;5100 0224 1541 5209
Власова Алла Николаевна;7220 001207;876-038-597 55;легкая тошнота;маммолог;2025-12-15T11:15+03:00;общий анализ крови;2025-12-18T09:00+03:00;800 руб.;4475 2069 7311 2197
Соловьева Милана Григорьевна;2319 695929;270-289-517 85;припухлость суставов;ортопед;2025-11-27T17:30+03:00;анализ крови на мочевую кислоту;2025-12-01T12:30+03:00;1650 руб.;4153 7423 5369 3785
Климов Иван Олегович;7416 909802;497-334-843 39;головная боль;детский хирург;2025-12-05T15:00+03:00;общий анализ мочи;2025-12-08T09:00+03:00;600 руб.;5100 2052 6965 8277
Сидоров Федор Артемович;1610 525388;666-188-924 55;боль в пояснице, кровь в моче, задержка мочи;уролог;2025-12-02T10:30+03:00;бакпосев мочи, узи почек;2025-12-04T09:00+03:00;4450 руб.;2200 0442 2535 8417
Константинов Андрей Евгеньевич;0519 569409;403-450-541 29;медленное заживление ран, аутоиммунные проявления, хроническая усталость;иммунолог;2025-11-24T09:15+03:00;анализ крови на иммуноглобулины;2025-11-26T16:15+03:00;1650 руб.;4153 7425 2410 5644
Романчук Раиса Романовна;7815 126517;351-823-374 70;дрожание рук, выпадение волос;эндокринолог;2025-12-01T09:45+03:00;анализ крови на Т3;2025-12-02T17:00+03:00;1650 руб.;4627 2948 4656 4825
Воробьев Макар Петрович;5023 899139;863-536-541 32;чихание, боль в горле, боль в ухе;лор;2025-11-27T17:00+03:00;мазок из зева, аудиометрия;2025-12-01T11:00+03:00;3400 руб.;2200 0505 3494 9374
Андреев Виталий Юрьевич;6123 226041;815-614-978 19;общее недомогание;терапевт;2025-11-27T11:00+03:00;общий анализ крови, общий анализ мочи;2025-12-01T17:00+03:00;1400 руб.;5100 2052 6965 8277
Смирнов Макар Дмитриевич;5023 529904;083-863-794 16;беспокойство, апатия, тревожность;психиатр;2025-12-08T12:45+03:00;психологическое тестирование, нейропсихологическое тестирование;2025-12-11T09:45+03:00;3500 руб.;2200 0881 4893 2527
Антонова Надежда Борисовна;5223 137058;445-655-743 14;новообразования;онколог;2025-12-15T10:15+03:00;биопсия;2025-12-17T14:15+03:00;1750 руб.;4475 2074 7411 2496
Павловский Владимир Станиславович;5017 689238;609-379-660 34;боли в мышцах;терапевт;2025-12-02T17:00+03:00;биохимический анализ крови, общий анализ мочи;2025-12-03T17:00+03:00;2100 руб.;4630 2717 1210 0327
Большакова Галина Владиславовна;0319 309479;517-123-685 68;боль в области таза, болезненные менструации, боль внизу живота;гинеколог;2025-11-20T10:15+03:00;узи органов малого таза, мазок на флору;2025-11-24T09:00+03:00;5150 руб.;2200 0774 8016 2454
Антонова Надежда Борисовна;5223 137058;445-655-743 14;общая слабость, легкая тошнота;ортодонт;2025-12-11T15:15+03:00;общий анализ крови, общий анализ мочи;2025-12-15T09:00+03:00;1400 руб.;4475 2074 7411 2496
Константинов Андрей Евгеньевич;0519 569409;403-450-541 29;апатия, перепады настроения, беспокойство;психиатр;2025-12-18T17:45+03:00;психологическое тестирование;2025-12-22T10:45+03:00;1750 руб.;5100 0318 8442 2588
Степанова Милана Васильевна;7723 663122;667-116-845 21;интоксикация, высокая температура, инфекционная сыпь;инфекционист;2025-12-15T14:45+03:00;анализ кала на инфекции, пцр диагностика;2025-12-17T17:00+03:00;3500 руб.;2200 0604 9451 9836
Власова Алла Николаевна;7220 001207;876-038-597 55;боль в сердце, одышка при нагрузке;кардиолог;2025-12-05T17:30+03:00;анализ крови на холестерин;2025-12-08T17:00+03:00;1650 руб.;4627 2910 4709 5211
Яковлева Мария Евгеньевна;AB7864256;724-342-661 83;боль после еды;гастроэнтеролог;2025-12-17T15:30+03:00;узи брюшной полости;2025-12-19T09:00+03:00;2800 руб.;4377 7259 9293 7846
Молчанова Марина Федоровна;5020 167754;691-669-784 74;эмоциональные проблемы, стресс, проблемы в отношениях;психотерапевт;2025-11-20T14:15+03:00;нейропсихологическое обследование;2025-11-24T11:15+03:00;1750 руб.;5100 0224 1541 5209
Лебедева Алина Викторовна;7415 694304;915-452-267 04;кровь в моче, отеки, отеки лица по утрам;нефролог;2025-12-08T11:45+03:00;урография, анализ крови на креатинин;2025-12-10T09:00+03:00;3400 руб.;4276 4465 6101 4386
Антонов Петр Станиславович;7714 991308;963-259-532 44;общая слабость, головная боль, незначительное повышение температуры;терапевт;2025-12-19T12:00+03:00;общий анализ мочи, биохимический анализ крови;2025-12-22T11:00+03:00;2100 руб.;2200 1406 5379 4733
Волков Данил Ярославович;2313 825251;006-762-676 59;легкая тошнота;андролог;2025-12-15T12:15+03:00;общий анализ крови, общий анализ мочи;2025-12-17T09:00+03:00;1400 руб.;2200 0498 5931 7464
Фролов Виталий Константинович;7725 988223;296-201-533 71;общее недомогание, незначительное повышение температуры, легкая тошнота;пластический хирург;2025-12-01T13:15+03:00;общий анализ крови;2025-12-03T14:15+03:00;800 руб.;2200 1406 1497 3103
Максимова Мария Филипповна;2325 456069;016-582-029 40;нарушение менструального цикла, выделения из влагалища;гинеколог;2025-12-15T15:45+03:00;анализ на ЗППП, мазок на онкоцитологию;2025-12-16T17:00+03:00;3400 руб.;2200 0552 7047 7431
Андреев Святослав Вадимович;7722 405911;868-793-741 02;общее недомогание;мануальный терапевт;2025-12-08T17:15+03:00;общий анализ мочи;2025-12-10T09:00+03:00;600 руб.;2200 0420 6163 2945
Баранов Вячеслав Григорьевич;3608 838743;260-256-342 45;общее недомогание, незначительное повышение температуры;пластический хирург;2025-12-17T13:45+03:00;общий анализ мочи;2025-12-18T17:00+03:00;600 руб.;4276 8319 1485 6460
Лебедева Алина Викторовна;7415 694304;915-452-267 04;чихание, крапивница;аллерголог;2025-11-21T15:30+03:00;аллергопробы;2025-11-24T14:30+03:00;1750 руб.;2200 0544 4713 2474
Тарасова Диана Максимовна;5925 909314;082-148-628 65;постоянная жажда;терапевт;2025-11-26T09:15+03:00;анализ крови на сахар;2025-11-27T12:15+03:00;1650 руб.;2200 0686 1035 7973
Лебедева Алина Викторовна;7415 694304;915-452-267 04;головная боль, незначительное повышение температуры;неонатолог;2025-12-15T10:30+03:00;общий анализ мочи;2025-12-16T13:30+03:00;600 руб.;2200 0442 2535 8417
Яковлев Дмитрий Максимович;5002 637895;446-657-437 22;легкая тошнота, общая слабость, общее недомогание;пародонтолог;2025-12-08T14:30+03:00;общий анализ крови, общий анализ мочи;2025-12-09T17:00+03:00;1400 руб.;4279 0183 3918 7856
Максимов Станислав Константинович;7723 323870;357-332-214 68;незначительное повышение температуры, головная боль, общая слабость;мануальный терапевт;2025-12-08T12:00+03:00;общий анализ мочи, общий анализ крови;2025-12-11T10:00+03:00;1400 руб.;2200 0544 4713 2474
Большакова Людмила Константиновна;4224 704506;842-824-172 09;кровь в моче, отеки лица по утрам, боль в пояснице;нефролог;2025-11-27T14:15+03:00;анализ мочи по Нечипоренко, биохимический анализ крови;2025-12-01T13:15+03:00;2450 руб.;4622 0444 0892 6879
Петухова Злата Олеговна;7816 487283;965-075-273 40;постоянная жажда, выпадение волос;эндокринолог;2025-11-24T15:30+03:00;анализ крови на ТТГ, анализ крови на Т4;2025-11-26T09:00+03:00;3300 руб.;4630 2761 6928 4516
Воробьев Макар Петрович;5023 899139;863-536-541 32;общая слабость;мануальный терапевт;2025-12-05T14:15+03:00;общий анализ крови, общий анализ мочи;2025-12-08T17:00+03:00;1400 руб.;4622 0451 9254 6294
Власова Алла Николаевна;7220 001207;876-038-597 55;болезненные менструации;гинеколог;2025-12-10T15:45+03:00;кольпоскопия, анализ на ЗППП;2025-12-11T15:45+03:00;3500 руб.;4630 2761 6928 4516
Рыбакова Дарья Артемовна;6112 874629;255-341-928 73;мышечные зажимы, хронические боли в спине, боли в шее;остеопат;2025-11-27T14:30+03:00;мрт позвоночника;2025-12-01T14:30+03:00;11500 руб.;2200 0444 7898 5627
Фролов Виталий Константинович;7725 988223;296-201-533 71;сухой кашель;пульмонолог;2025-11-20T12:15+03:00;спирография;2025-11-24T10:15+03:00;1750 руб.;2200 0686 1035 7973
Громова Ирина Олеговна;HB6557278;169-409-749 16;онемение рук, головокружение;невролог;2025-12-09T09:00+03:00;мрт головного мозга;2025-12-12T09:00+03:00;11500 руб.;4475 2074 7411 2496
Новикова Людмила Андреевна;5225 303579;605-297-516 96;боль в суставах;ревматолог;2025-12-01T15:00+03:00;анализ крови на антитела к ЦЦП, анализ крови на комплемент;2025-12-04T11:00+03:00;3300 руб.;5213 2427 8755 8865
Петухова Злата Олеговна;7816 487283;965-075-273 40;слезотечение, мушки перед глазами;офтальмолог;2025-11-26T13:15+03:00;офтальмоскопия, периметрия;2025-11-27T17:00+03:00;3500 руб.;2200 0544 4713 2474
Гусева Жанна Александровна;7722 758725;437-447-012 84;боль в левом подреберье, тяжесть в желудке;гастроэнтеролог;2025-12-03T10:00+03:00;гастроскопия;2025-12-04T17:00+03:00;1750 руб.;2200 0594 1552 1665
Никифорова Милана Олеговна;7719 955491;797-296-590 96;головная боль, легкая тошнота, общее недомогание;терапевт;2025-12-18T15:45+03:00;общий анализ крови;2025-12-22T09:00+03:00;800 руб.;5101 2699 3588 9160
